
No compatibility mode selected!


Circuit: bgr tf - compute variation coefficients

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xbgr.xsky130_asc_res_xhigh_po_2p85_1_13.x0.t1    -1.05958e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_13.x0.t2    -9.77222e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_13.x1.t1    -8.93549e-24
xbgr.xsky130_asc_res_xhigh_po_2p85_1_13.x1.t2    -9.75906e-24
xbgr.sky130_asc_res_xhigh_po_2p85_1_24/rin      4.3624e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_24.x0.t1     4.36234e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_24.x0.t2     4.35519e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_24.x1.t1     4.34792e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_24.x1.t2     4.35507e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_14/rin    -1.22758e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_14.x0.t1    -1.22693e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_14.x0.t2    -1.14457e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_14.x1.t1    -1.06089e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_14.x1.t2    -1.14325e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_25/rin     4.37694e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_25.x0.t1     4.37689e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_25.x0.t2     4.36973e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_25.x1.t1     4.36246e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_25.x1.t2     4.36962e-26
xbgr.sky130_asc_nfet_01v8_lvt_1_1/gate    -3.65176e-18
xbgr.sky130_asc_res_xhigh_po_2p85_1_15/rin    -1.39493e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_15.x0.t1    -1.39427e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_15.x0.t2    -1.31191e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_15.x1.t1    -1.22824e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_15.x1.t2     -1.3106e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_26/rin     4.39149e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_26.x0.t1     4.39143e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_26.x0.t2     4.38427e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_26.x1.t1       4.377e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_26.x1.t2     4.38416e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_16/rin    -1.56228e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_16.x0.t1    -1.56162e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_16.x0.t2    -1.47926e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_16.x1.t1    -1.39559e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_16.x1.t2    -1.47794e-23
xbgr.sky130_asc_res_xhigh_po_2p85_1_27/rin     4.40603e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_27.x0.t1     4.40597e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_27.x0.t2     4.39882e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_27.x1.t1     4.39155e-26
xbgr.xsky130_asc_res_xhigh_po_2p85_1_27.x1.t2      4.3987e-26
xbgr.sky130_asc_res_xhigh_po_2p85_1_17/rin    -1.72962e-23
xbgr.xsky130_asc_res_xhigh_po_2p85_1_17.x0.t1    -1.72896e-23
