a0	a1
175.840	144.440
182.660	175.140
106.500	148.650
197.940	126.410
158.590	196.160
223.660	136.000
321.610	200.990
232.040	128.730
239.200	198.205
129.230	128.450
453.700	173.090
230.480	109.185
342.440	205.500
265.090	196.720
337.740	123.145
78.860	213.170
304.340	163.350
304.950	189.060
389.390	250.290
226.700	160.760
414.790	238.220
349.230	154.450
117.200	122.170
330.530	166.575
194.925	233.595
307.200	202.190
313.380	173.625
271.320	195.610
297.640	130.280
224.950	119.280
233.960	197.630
290.460	207.810
273.030	152.440
149.300	175.715
308.260	177.780
337.610	205.970
110.400	146.560
194.310	111.205
289.390	183.320
280.700	187.390
148.020	128.620
145.970	167.610
311.400	190.220
374.030	215.660
232.860	186.230
132.220	212.510
158.690	135.720
230.610	127.590
184.370	203.400
223.050	222.550
70.070	92.920
116.160	174.530
240.630	187.210
194.420	211.940
123.470	100.280
345.520	181.980
315.400	194.150
186.250	164.030
380.990	195.600
257.430	203.080
310.280	168.570
337.700	203.030
345.420	172.270
283.290	182.460
254.860	221.470
270.010	218.550
152.320	142.400
305.230	166.270
441.930	191.000
223.570	194.480
188.750	173.630
231.800	197.680
179.770	235.720
211.180	184.740
148.980	170.150
363.380	201.840
80.980	242.300
347.690	134.295
280.650	228.240
417.670	77.580
